Model,Version,Fuel,Transmission,Fiscal_Power,Horsepower,Price
Aston Martin DBS,5.2 litre bi-turbo V12,Essence,Automatique,0 CV,720 CH,
Aston Martin DBS,volante 5.2 litre bi-turbo V12,Essence,Automatique,0 CV,720 CH,
Aston Martin Vantage,COUPE 4.0 litre twin turbo V8,Essence,Automatique,0 CV,510 CH,
Aston Martin Vantage,roadster 4.0 litre twin turbo V8,Essence,Automatique,0 CV,510 CH,
Audi A1,Sportback - Ph1 - 30 TFSI URBAN BVA 116ch,Essence,Automatique,6 CV,116 CH,"





325000"
Audi A1,Sportback  - Ph1 - 30 TFSI S-Line BVA 116ch,Essence,Automatique,6 CV,116 CH,"





369000"
Audi A3,Berline 35 TDI 150 S-Tronic Performance,Diesel,Automatique,8 CV,150 CH,"





499000"
Audi A3,Sportback 35 TDI 150 S-Tronic Black Edition,Diesel,Automatique,8 CV,150 CH,"





475000"
Audi A3,35 TDI 150 S-Tronic Black Edition,Diesel,Automatique,8 CV,150 CH,"





499000"
Audi A3,Sportback 35 TDI 150 S-Tronic Dynamic,Diesel,Automatique,8 CV,150 CH,"





387000"
Audi A3,Sportback 35 TDI 150 S-Tronic Emotion,Diesel,Automatique,8 CV,150 CH,"





431000"
Audi A3,Sportback 35 TDI 150 S-Tronic Performance,Diesel,Automatique,8 CV,150 CH,"





475000"
Audi A3,Sportback 35 TDI 150 S-Tronic S-line,Diesel,Automatique,8 CV,150 CH,"





528000"
Audi A3,Berline 35 TDI 150 S-Tronic Dynamic,Diesel,Automatique,8 CV,150 CH,"





400000"
Audi A3,Berline 35 TDI 150 S-Tronic Emotion,Diesel,Automatique,8 CV,150 CH,"





455000"
Audi A3,Berline 35 TDI 150 S-Tronic S-line,Diesel,Automatique,8 CV,150 CH,"





581000"
Audi A5,2.0 TDI 204 MHEV S-Tronic Business,Diesel,Automatique,8 CV,204 CH,"





589000"
Audi A5,2.0 TDI 204 MHEV S-Tronic S-line,Diesel,Automatique,8 CV,204 CH,"





648000"
Audi A5,2.0 TDI 204 MHEV S-Tronic S-Edition,Diesel,Automatique,8 CV,204 CH,"





704000"
Audi A5,2.0 TDI 204 MHEV S-Tronic Emotion,Diesel,Automatique,8 CV,204 CH,"





558000"
Audi A6,PHEV 50 TFSI e 299 S-Tronic quattro Hybrid S,Hybride,Automatique,11 CV,299 CH,"





800000"
Audi A6,"MHEV 2,0L TDI 204 S-Tronic Business",Diesel,Automatique,8 CV,204 CH,"





690000"
Audi A6,"MHEV 2,0L TDI 204 S-Tronic S line",Diesel,Automatique,8 CV,204 CH,"





733000"
Audi A6,"MHEV 2,0L TDI 204 S-Tronic S Edition",Diesel,Automatique,12 CV,286 CH,"





792000"
Audi A6,E-Tron 270 kW AT Business,,Automatique,11 CV,368 CH,"





808000"
Audi A6,E-Tron 270 kW AT S-line,,Automatique,11 CV,368 CH,"





914000"
Audi A7,Sportback DIESEL MHEV 40 TDI 204 S-Tronic S-line,Diesel,Automatique,8 CV,204 CH,"





830000"
Audi A8,PHEV L 60 TFSIe 462 quattro executive hybrid,Hybride,Automatique,0 CV,340 CH,"





1849000"
Audi A8,MHEV 50 TDI 286 quattro Executive,Diesel,Automatique,12 CV,286 CH,"





1459000"
Audi Q3,sportback 35 TDI 150 S-Tronic Design,Diesel,Automatique,8 CV,150 CH,"





528000"
Audi Q3,sportback 35 TDI 150 S-Tronic S-Edition,Diesel,Automatique,8 CV,150 CH,"





706000"
Audi Q3,sportback  35 TDI 150 S-Tronic S-line,Diesel,Automatique,8 CV,150 CH,"





606100"
